Alert Fault code #,Alert message,Meaning,Color,Vehicle immediate response,Vehicle sends fault to AVCS?,Vehicle sends mi_request?,Severity,AVC Action, Remote Operator Action,Last Updated Version,Categorization,Ops Troubleshoot Guide,Notes,Stop Reason,PSA,KN,ABT,BNS,Rationale,Internal Comments,"trigger
breakdown",FT reference,Associated Reasons,,,,,,,,,,,,,,,,,,,,,
117,Incompatible Sensor Detected,The vehicle detects that it is connected to a sensor that is incompatible with the current software version. This alert is created as a safety measure in case sensor configurations for testing are accidentally used in production.,Amber - Action Required,,No,No,WARNING,,,v5.44.11,"Venti /
Middleware"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,FALSE,Tested,Tested,Implemented,N/A,,,,,Display malfunctioning sensors topic name,,,,,,,,,,,,,,,,,,,,,
119,LiDAR Connection Error (Top Rear RS-LiDAR-16),There is an issue with the connection to the LiDAR. This will cause a breakdown if it happens for more than 2 seconds.,Red,Vehicle performs Soft Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v6.5.7,"Hardware /
LiDAR"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,Implemented,N/A,,,yes,FT-016,"Lidar packet count as uint32_t
Value > 375",,,,,,,,,,,,,,,,,,,,,
120,Critically Low Tire Pressure (Left Front),The tire pressure is critically low (< 6.0 Bar).,Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.46.11,"Hardware /
Tire","1. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,Draft,,,,,"Tire pressure as double
6.3 <= Value < 6.0",,,,,,,,,,,,,,,,,,,,,
121,Critically Low Tire Pressure (Right Front),The tire pressure is critically low (< 6.0 Bar).,Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.46.11,"Hardware /
Tire","1. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,Draft,,,,,"Tire pressure as double
6.3 <= Value < 6.0",,,,,,,,,,,,,,,,,,,,,
122,Critically Low Tire Pressure (Left Rear),The tire pressure is critically low (< 6.0 Bar).,Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.46.11,"Hardware /
Tire","1. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,Draft,,,,,"Tire pressure as double
6.3 <= Value < 6.0",,,,,,,,,,,,,,,,,,,,,
123,Critically Low Tire Pressure (Right Rear),The tire pressure is critically low (< 6.0 Bar).,Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.46.11,"Hardware /
Tire","1. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,Draft,,,,,"Tire pressure as double
6.3 <= Value < 6.0",,,,,,,,,,,,,,,,,,,,,
124,Low Tire Pressure (Left Front),The tire pressure is low (< 6.3 Bar).,Amber - Action Required,,No,No,WARNING,,,v5.46.11,"Hardware /
Tire","1. If alert persist, send to SR for further checks.",,FALSE,Tested,Tested,N/A,N/A,,,,,"Tire pressure as double
Value < 6.3",,,,,,,,,,,,,,,,,,,,,
125,Low Tire Pressure (Right Front),The tire pressure is low (< 6.3 Bar).,Amber - Action Required,,No,No,WARNING,,,v5.46.11,"Hardware /
Tire","1. If alert persist, send to SR for further checks.",,FALSE,Tested,Tested,N/A,N/A,,,,,"Tire pressure as double
Value < 6.3",,,,,,,,,,,,,,,,,,,,,
126,Low Tire Pressure (Left Rear),The tire pressure is low (< 6.3 Bar).,Amber - Action Required,,No,No,WARNING,,,v5.46.11,"Hardware /
Tire","1. If alert persist, send to SR for further checks.",,FALSE,Tested,Tested,N/A,N/A,,,,,"Tire pressure as double
Value < 6.3",,,,,,,,,,,,,,,,,,,,,
127,Low Tire Pressure (Right Rear),The tire pressure is low (< 6.3 Bar).,Amber - Action Required,,No,No,WARNING,,,v5.46.11,"Hardware /
Tire","1. If alert persist, send to SR for further checks.",,FALSE,Tested,Tested,N/A,N/A,,,,,"Tire pressure as double
Value < 6.3",,,,,,,,,,,,,,,,,,,,,
128,Drive By Wire Connection Error,There is an issue with the connection to the Drive By Wire.,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Primary Board"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,av pc timeout,,FT-005,,,,,,,,,,,,,,,,,,,,,,
129,Safety Supervisor Connection Error,There is an issue with the connection to the Safety Supervisor.,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Safety Supervisor","1. Shut down the PC and turn off DBW for 1 minute and start again.
2. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Data Acquisition Device Connection Error,"There is an issue with the connection to the Data Acquisition Device. This connects to the door sensors, 2nd battery voltage sensing, warning light and tower light on the vehicle.",Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Primary Board","1. Perform a soft reboot.
2. If alert persist, send to SR for further checks.",Venti: Consider soft stop in this case,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Electronic Power Steering Connection Error,There is an issue with the connection to the Electronic Power Steering.,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Steering"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Electronic Power Steering Error 1,The vehicle detects an issue with the Electronic Power Steering which causes the vehicle to be unable to control the steering in auto.,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v6.4.2,"Hardware /
Steering"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Terberg Engine Fault,The Terberg vehicle detects an engine fault. This is not set to stop the vehicle due to frequent occurrence on APM 8404.,Amber - Action Required,,No,No,WARNING,,,v5.33.31,"Hardware /
Terberg",,,FALSE,Tested,Tested,N/A,Draft,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Main Battery Undervoltage,The filtered main battery voltage level is below 21V (about 20% capacity left).,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Battery"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,,"Battery level as float
Value < 21",,,,,,,,,,,,,,,,,,,,,
136,Critical UPS Battery Undervoltage,The filtered UPS voltage level is below 21V (about 20% capacity left).,Red,Vehicle performs Hard Stop and then Pause,Yes,No,FATAL,Soft reboot required,,v5.39.13,"Hardware /
Battery","If alert persist, perform soft reboot.",,TRUE,Tested,Tested,N/A,N/A,,Alert comes from primary board.,,FT-001,,,,,,,,,,,,,,,,,,,,,,
137,Throttle Pedal Connection Error,There is an issue with the connection to the Thottle Pedal.,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Primary Board"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",Venti: Consider soft stop in this case,TRUE,Tested,Tested,N/A,N/A,,dbw,,,,,,,,,,,,,,,,,,,,,,,,
138,Electronic Power Steering CRC Error,"There is an issue with the transmission of data on the Electronic Power Steering, ",Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Steering"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Terberg Coolant Temperature Red,The Terberg Coolant Temperature Red fault code is active.,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Terberg",1. Send to SR to check the engine coolant.,,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Venti CAN Bus Error,The vehicle detects an issue with the Venti CAN Bus (E.g. wiring issue).,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Primary Board"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Vehicle CAN Bus Error,The vehicle detects an issue with the Vehicle CAN Bus (E.g. wiring issue).,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Primary Board"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Stopping For Nearby Spreader,The vehicle detects a hanging spreader nearby that is conducting loading/offloading for other vehicles. The current behavior is to stop in this scenario and not bypass it until the spreader exits the area.,Amber,,No,No,INFO,,,v6.2.10,"Operations /
Informational",,,TRUE,Tested,Implemented,Implemented,Implemented,,"From Action Advisor module, From Suspended Load Detection module",,,,,,,,,,,,,,,,,,,,,,,,
143,Stopping For High Priority Dynamic Obstacle,A dynamic obstacle with a higher precedence was detected nearby which causes the vehicle to stop. Force move forward will be disallowed when the vehicle is stopping for this case as a safety measure.,Amber,,No,No,INFO,,,v6.11.12,"Operations /
Informational",,,TRUE,Tested,Tested,Implemented,Implemented,,From Action Advisor module,,,,,,,,,,,,,,,,,,,,,,,,
144,Stopping For Stop Line,The vehicle has stopped because it detects a stop line based on the map annotations.,Amber,,No,No,INFO,,,v6.2.10,"Operations /
Informational",,,TRUE,Tested,Tested,Implemented,Implemented,,From Action Advisor module,,,,,,,,,,,,,,,,,,,,,,,,
145,Stopping For Junction Congestion,The vehicle has stopped because it detects a traffic congestion.,Amber,,No,No,INFO,,,v6.2.10,"Operations /
Informational",,,TRUE,Tested,Tested,Implemented,Implemented,,From Action Advisor module,,,,,,,,,,,,,,,,,,,,,,,,
146,Stopping For Nearby Occlusion,The vehicle has stopped because it detects a nearby occlusion.,Amber,,No,No,INFO,,,v6.2.10,"Operations /
Informational",,,TRUE,Tested,Tested,Implemented,Implemented,,From Action Advisor module,,,,,,,,,,,,,,,,,,,,,,,,
147,Waiting for Traffic Light,The vehicle has stopped because it is waiting for the traffic light.,Amber,,No,No,INFO,,,v5.33.31,"Operations /
Informational",,,TRUE,Tested,Implemented,Implemented,Implemented,,From Action Advisor module,,,,,,,,,,,,,,,,,,,,,,,,
148,Lane Change Aborted,The vehicle has stopped because a lane change was aborted.,Amber,,No,No,INFO,,,v5.33.31,"Operations /
Informational",,,TRUE,Tested,Tested,Implemented,Implemented,,From Action Advisor module,,,,,,,,,,,,,,,,,,,,,,,,
149,Discontinuous Reference Path,The vehicle detects an issue with the reference path of the area. This is usually caused by Path Selection.,Amber,,No,No,INFO,,,v5.33.31,"Operations /
Informational",,,TRUE,Tested,Tested,Implemented,Implemented,,From Action Advisor module,,,,,,,,,,,,,,,,,,,,,,,,
150,Deviation from Path,The vehicle detects that it is far away from the path it is supposed to be on.,Red - Action Required,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",INFO,,Use Move Slowly/Path Selection to make APM move back to the path.,v5.33.31,"Manual Intervention /
Navigation"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,Implemented,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
152,External Emergency Stop Device Low Battery,The vehicle detects that the external emergency stop device has a low battery level.,Amber - Action Required,,No,No,WARNING,,,v5.38.4,"Operations /
External E-Stop",,,FALSE,Tested,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Tire Pressure Sensor Connection Error,The tire pressure sensor driver is reporting an error.,Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v6.9.10,"Hardware /
Tire"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,FT-015,,,,,,,,,,,,,,,,,,,,,,
154,Collision Detected,The vehicle detects that a collision could have happened. It requires the remote operator to connect and verify that nothing has happened before continuing.,Red - Action Required,Vehicle performs Soft Stop and then Pause,No,"Yes, Technical MI",INFO,,"Observe the vehicle performance, resume vehicle when error disappears.",v6.5.7,"Manual Intervention /
Emergency Response",,,TRUE,Tested,Tested,Implemented,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
156,LiDAR Partially Blocked (Front RS-LiDAR-M1),The vehicle detects that the LiDAR is partially blocked. ,No Display,,No,No,INFO,,,v6.10.14,"Hardware /
LiDAR","1. If alert persist, wipe LiDAR with microfiber cloth, check for any damage or cracks on the sensor surface.
2. If alert persist, send to SR for further checks.",,FALSE,Tested,Tested,N/A,Draft,,,,,,,,,,,,,,,,,,,,,,,,,,
157,LiDAR Partially Blocked (Right RS-LiDAR-M1),The vehicle detects that the LiDAR is partially blocked. ,No Display,,No,No,INFO,,,v6.10.14,"Hardware /
LiDAR","1. If alert persist, wipe LiDAR with microfiber cloth, check for any damage or cracks on the sensor surface.
2. If alert persist, send to SR for further checks.",,FALSE,Tested,Tested,N/A,Draft,,,,,,,,,,,,,,,,,,,,,,,,,,
158,LiDAR Partially Blocked (Left RS-LiDAR-M1),The vehicle detects that the LiDAR is partially blocked. ,No Display,,No,No,INFO,,,v6.10.14,"Hardware /
LiDAR","1. If alert persist, wipe LiDAR with microfiber cloth, check for any damage or cracks on the sensor surface.
2. If alert persist, send to SR for further checks.",,FALSE,Tested,Tested,N/A,Draft,,,,,,,,,,,,,,,,,,,,,,,,,,
159,EHMI Status Error (Front Panel),One of the displays on the EHMI is reporting an error.,Amber - Action Required,,No,No,WARNING,,,v5.33.31,"Hardware /
EHMI"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,FALSE,Tested,N/A,N/A,N/A,,,,FT-008,,,,,,,,,,,,,,,,,,,,,,
160,EHMI Status Error (Rear Panel),Removed.,No Display,,No,No,INFO,,,v7.0.21,"Hardware /
EHMI"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,FALSE,Tested,N/A,N/A,N/A,,,,FT-011,,,,,,,,,,,,,,,,,,,,,,
161,EHMI Status Error (Left Panel),One of the displays on the EHMI is reporting an error.,Amber - Action Required,,No,No,WARNING,,,v5.33.31,"Hardware /
EHMI"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,FALSE,Tested,N/A,N/A,N/A,,,,FT-009,,,,,,,,,,,,,,,,,,,,,,
162,EHMI Status Error (Right Panel),One of the displays on the EHMI is reporting an error.,Amber - Action Required,,No,No,WARNING,,,v5.33.31,"Hardware /
EHMI"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,FALSE,Tested,N/A,N/A,Draft,,,,FT-010,,,,,,,,,,,,,,,,,,,,,,
163,Break Down,"The vehicle has encountered a severe error that requires a software restart before it can resume. This condition is caused by other alerts, if a serious error has happened for > 2 seconds the break down condition will be applied.

This alert does not go away, which means that service recovery is always required in this case if no one is in the vehicle.",Red,Vehicle performs Hard Stop and then Pause,Yes,No,FATAL,Soft reboot required,,v5.33.31,"Operations /
Informational"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,To revise,,FT-016,"1. IMU Connection Error
2. GPS Connection Error
3. Brake Feedback Connection Error
4. Velocity Feedback Connection Error
5. Steering Feedback Connection Error
6. Gear Feedback Connection Error
7. Electronic Power Steering Torque Feedback Connection Error
8. Engine Feedback Connection Error
9. Steering Angle Connection Error
10. LiDAR Connection Error (Left RS-LiDAR-16)
11. LiDAR Connection Error (Right RS-LiDAR-16)
12. LiDAR Connection Error (Top Rear RS-LiDAR-16)
13. LiDAR Connection Error (Top Front RS-LiDAR-16)
14. LiDAR Connection Error (Front RS-LiDAR-M1)
15. LiDAR Connection Error (Left RS-LiDAR-M1)
16. LiDAR Connection Error (Right RS-LiDAR-M1)
17. LiDAR Connection Error (Left RS-Bpearl)
18. LiDAR Connection Error (Right RS-Bpearl)
19. Wheel Encoder Connection Error
20. Stopping For Low Engine Speed",,,,,,,,,,,,,,,,,,,,,
164,AVCS Job Instruction Rejected,The vehicle has rejected a job from AVCS.,Amber - Action Required,,Yes,No,WARNING,Job rejected,,v5.33.31,"Operations /
Informational",1. Clear container information.,,FALSE,Tested,N/A,N/A,N/A,,,,,"1. APM is doing manual route
2. APM not in operation mode
3. APM currently under local MI
4. APM currently in fault state and unable to accept the instruction
5. APM is in hibernation mode
6. Job is rejected as APM is doing another job
7. Wrong instruction format from AVCS
8. The destination from AVCS does not exist in the APM map
9. Container already mounted on target mounting position
10. APM already has 2 containers
11. No container present in target offloading position
12. Two 20ft containers are not present in target offloading position
13. Cannot extract the state from next_location
14. apm_direction is not B or S, so rejecting job 
15. egress right wharf mark lower than egress left wharf mark, so rejecting job
16. Could not find the one or more of the vessel info wharf mark in map 
17. cannot convert wharf mark to cartesian coordinates
18.  Couldn't parse the vessel_ops_info_response. So rejecting
19. APM was unable to generate a route
20. APM was not ready to generate a route
21. APM was unable to get a route because the generated path is diverged from the current path in execution
22. APM was unable to get a route because the destination is invalid
23. APM was unable to get a route due to the road blockages
24. [180] Critically Low Fuel",,,,,,,,,,,,,,,,,,,,,
165,Traffic Light Down,"The vehicle detects that the traffic light is down based on the V2I signal. This provides a reason for the mi_request generated by alert ""2 - Traffic Light Unknown"".",Amber,,No,No,INFO,,,v5.33.31,"PSA /
Traffic Light",,,FALSE,Tested,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Full Manual Request Received,The vehicle has received a message from the fleet management system to stop and connect to the remote operator.,Red - Action Required,Vehicle performs Safe Stop and then Pause,No,"Yes, Non-Technical MI",INFO,,Communicate with the AVCS Supervisor to decide what actions to take for the APM.,v5.33.31,"Manual Intervention /
Operational Process",,,TRUE,Tested,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Right Cabin Door Open,The vehicle detects that the right cabin door is open.,Red - Action Required,Vehicle performs Hard Stop and then Pause,No,"Yes, Non-Technical MI",INFO,,Communicate with the AVCS Supervisor to check if anyone is on vehicle.,v6.6.13,"Manual Intervention /
Operational Process","1. Close the door harder.
2. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Left Cabin Door Open,The vehicle detects that the left cabin door is open.,Red - Action Required,Vehicle performs Hard Stop and then Pause,No,"Yes, Non-Technical MI",INFO,,Communicate with the AVCS Supervisor to check if anyone is on vehicle.,v6.6.13,"Manual Intervention /
Operational Process","1. Close the door harder.
2. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Harsh Brake Detected 1,The vehicle detects that it has perfomed a harsh brake (> 80%). This alert measures harsh braking based on the brake feedback.,No Display,,No,No,INFO,,,v6.3.6,"Hardware /
Brake",,,FALSE,Tested,Tested,N/A,Draft,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Electronic Power Steering Missing Calibration,The Electronic Power Steering detects that it is missing calibration.,Red,Vehicle performs Hard Stop and then Pause,Yes,No,FATAL,Hard reboot required,,v5.39.13,"Hardware /
Steering","
1. If alert persist, perform hard reboot.
2. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,FT-007,,,,,,,,,,,,,,,,,,,,,,
171,Electronic Power Steering EEPROM Error,The Electronic Power Steering detects that the EEPROM has an error.,Red,Vehicle performs Hard Stop and then Pause,Yes,No,FATAL,Hard reboot required,,v5.39.13,"Hardware /
Steering","
1. If alert persist, perform hard reboot.
2. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Electronic Power Steering Primary Sensor Disconnected,The Electronic Power Steering detects that the primary sensor is disconnected.,Red,Vehicle performs Hard Stop and then Pause,Yes,No,FATAL,Hard reboot required,,v5.39.13,"Hardware /
Steering","
1. If alert persist, perform hard reboot.
2. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Electronic Power Steering Primary Sensor Abnormal,The Electronic Power Steering detects that the primary sensor is abnormal.,Red,Vehicle performs Hard Stop and then Pause,Yes,No,FATAL,Hard reboot required,,v5.39.13,"Hardware /
Steering","
1. If alert persist, perform hard reboot.
2. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Electronic Power Steering Secondary Sensor Disconnected,The Electronic Power Steering detects that the secondary sensor is disconnected.,Red,Vehicle performs Hard Stop and then Pause,Yes,No,FATAL,Hard reboot required,,v5.39.13,"Hardware /
Steering","
1. If alert persist, perform hard reboot.
2. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Electronic Power Steering Secondary Sensor Abnormal,The Electronic Power Steering detects that the secondary sensor is abnormal.,Red,Vehicle performs Hard Stop and then Pause,Yes,No,FATAL,Hard reboot required,,v5.39.13,"Hardware /
Steering","
1. If alert persist, perform hard reboot.
2. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Electronic Power Steering Sensor Mismatch,The Electronic Power Steering detects a sensor mismatch.,Red,Vehicle performs Hard Stop and then Pause,Yes,No,FATAL,Hard reboot required,,v5.39.13,"Hardware /
Steering","
1. If alert persist, perform hard reboot.
2. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,FT-007,,,,,,,,,,,,,,,,,,,,,,
177,Electronic Power Steering Overcurrent Warning,The Electronic Power Steering detects overcurrent.,Red,Vehicle performs Hard Stop and then Pause,Yes,No,FATAL,Hard reboot required,,v5.39.13,"Hardware /
Steering","
1. If alert persist, perform hard reboot.
2. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Electronic Power Steering Thermal Warning,The Electronic Power Steering ECU detects a high temperature. This could be due to the power steering overheating after being too stiff to turn.,Amber,Vehicle performs a Temporary Hard Stop,No,No,INFO,,,v7.0.21,"Hardware /
Steering","
1. If alert persist, perform hard reboot.
2. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,FT-007,,,,,,,,,,,,,,,,,,,,,,
179,Electronic Power Steering Steering Limit Warning,The Electronic Power Steering detects that it has hit the steering limit.,Red,Vehicle performs Hard Stop and then Pause,Yes,No,FATAL,Hard reboot required,,v5.39.13,"Hardware /
Steering","
1. If alert persist, perform hard reboot.
2. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Critically Low Fuel,The fuel level is critically low (< 10%).,Amber - Action Required,Vehicle rejects incoming jobs except for refueling and offloading.,Yes,No,WARNING,Refueling required,,v5.33.31,"Operations /
Routine Maintenance","1. Send APM for refuel job.
2. If actual fuel and reported fuel level is different, inform SR team to check further.",,FALSE,Tested,Tested,N/A,N/A,,,,,"Fuel level percentage as float
Value < 10.0",,,,,,,,,,,,,,,,,,,,,
181,Pre-emptive Monitoring Required,The vehicle is currently in a situation where it requires monitoring from the remote operator. End Session from the remote console is not possible unless monitoring is no longer required.,Amber - Action Required,Vehicle stops before starting on next maneuver unless there is monitoring present,No,"Yes, Non-Technical MI",INFO,,Monitor the vehicle behavior.,v5.33.31,"Manual Intervention /
Operational Process",,,FALSE,Tested,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Engine Coolant Temperature Over Threshold ,The temperature of the engine coolant is above the recommended threshold (> 90°C).,Amber - Action Required,,No,No,WARNING,,,v5.33.31,"Hardware /
Terberg",1. Send to SR for checking the engine coolant.,,FALSE,Tested,Tested,N/A,Draft,,,,,"Temperature as float
Value > 90.0",,,,,,,,,,,,,,,,,,,,,
183,Gear Feedback Connection Error,The Drive By Wire detects an issue with the transmission of data from the gear feedback. This will cause a breakdown if it happens for more than 2 seconds.,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Primary Board","
1. If alert persist, perform hard reboot.
2. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,vehicle_can_read,yes,,,,,,,,,,,,,,,,,,,,,,,
184,Electronic Power Steering Torque Feedback Connection Error,The Drive By Wire detects an issue with the transmission of data from the torque feedback on the electronic power steering. This will cause a breakdown if it happens for more than 2 seconds.,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Primary Board","
1. If alert persist, perform hard reboot.
2. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,vehicle_can_read,yes,,,,,,,,,,,,,,,,,,,,,,,
185,Engine Feedback Connection Error,The Drive By Wire detects an issue with the transmission of data from the engine feedback. This will cause a breakdown if it happens for more than 2 seconds.,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Primary Board","
1. If alert persist, perform hard reboot.
2. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,vehicle_can_read,yes,,,,,,,,,,,,,,,,,,,,,,,
