SPN,FMI,Foutcodelijst,Foutcode,Omschrijving,Categorie,Oorzaak,Effect,Aangeraden actie
1176,3,Cummins - Stage V,Engine turbocharger 1 compressor intake pressure,"P741 - Turbocharger 1 compressor intake pressure circuit - voltage above normal, or shorted to high source",Warning,,,
1176,4,Cummins - Stage V,Engine turbocharger 1 compressor intake pressure,"P742 - Turbocharger 1 compressor intake pressure circuit - voltage below normal, or shorted to low source",Warning,,,
1176,9,Cummins - Stage V,Engine turbocharger 1 compressor intake pressure,P3372 - Turbocharger 1 compressor intake pressure - abnormal update rate,Warning,,,
1176,18,Cummins - Stage V,Engine turbocharger 1 compressor intake pressure,P629 - Turbocharger 1 compressor intake pressure - data valid but below normal operating range - moderately,Warning,,,
1176,19,Cummins - Stage V,Engine turbocharger 1 compressor intake pressure,P3373 - Turbocharger 1 compressor intake pressure - received network data in error,Warning,,,
1194,13,Cummins - Stage V,Anti-theft encryption seed present indicator,P3298 - Anti-theft encryption seed - out of calibration,Critical,,,
1195,2,Cummins - Stage V,Anti-theft password valid indicator,"P269 - Antitheft password valid indicator - data erratic, intermittent or incorrect",Critical,,,
1204,5,Wabco - E8 ABS,No Loads Connected,52 : Electronic w/o loads detection,Warning,,,"Check, if all plugs are connected to ABS-ECU;"
1209,2,Cummins - Stage V,Engine exhaust gas pressure 1,"P2554 - Exhaust gas pressure 1 - data erratic, intermittent or incorrect",Warning,,,
1209,3,Cummins - Stage V,Engine exhaust gas pressure 1,"P2373 - Exhaust gas pressure sensor 1 circuit - voltage above normal, or shorted to high source",Warning,,,
1209,4,Cummins - Stage V,Engine exhaust gas pressure 1,"P2374 - Exhaust gas pressure sensor 1 circuit - voltage below normal, or shorted to low source",Warning,,,
1209,15,Cummins - Stage V,Engine exhaust pressure 1,P5652 - Exhaust pressure 1 - data valid but above normal operating range - least severe level,Warning,,,
1209,16,Cummins - Stage V,Engine exhaust gas pressure 1,P2764 - Exhaust gas pressure 1 - data valid but above normal operating range - moderately severe level,Warning,,,
1213,9,Cummins - Stage V,Malfunction indicator lamp,P3535 - Malfunction indicator lamp - abnormal update rate,Warning,,,
1239,16,Cummins - Stage V,Engine fuel leakage 1,P4726 - Engine fuel leakage - data valid but above normal operating range - moderately severe level,Warning,,,
1267,3,Cummins - Stage V,Idle shutdown vehicle accessories relay driver circuit,"P338 - Idle Shutdown Vehicle Accessories Relay Driver Circuit - Voltage Above Normal, or Shorted to High Source",Warning,,,
1267,4,Cummins - Stage V,Idle shutdown vehicle accessories relay driver circuit,"P339 - Idle Shutdown Vehicle Accessories Relay Driver Circuit - Voltage Below Normal, or Shorted to Low Source",Warning,,,
1323,31,Cummins - Stage V,Engine misfire cylinder #1,P1654 - Engine misfire cylinder 1 - condition exists,Warning,,,
1324,31,Cummins - Stage V,Engine misfire cylinder #2,P1655 - Engine misfire cylinder 2 - condition exists,Warning,,,
1325,31,Cummins - Stage V,Engine misfire cylinder #3,P1656 - Engine misfire cylinder 3 - condition exists,Warning,,,
1326,31,Cummins - Stage V,Engine misfire cylinder #4,P1657 - Engine misfire cylinder 4 - condition exists,Warning,,,
1327,31,Cummins - Stage V,Engine misfire cylinder #5,P1658 - Engine misfire cylinder 5 - condition exists,Warning,,,
1328,31,Cummins - Stage V,Engine misfire cylinder #6,P1659 - Engine misfire cylinder 6 - condition exists,Warning,,,
1347,3,Cummins - Stage V,Engine fuel pump pressurizing assembly #1,"P272 - Engine fuel pump pressurizing assembly 1 circuit - voltage above normal, or shorted to high source",Warning,,,
1347,4,Cummins - Stage V,Engine fuel pump pressurizing assembly #1,"P271 - Engine fuel pump pressurizing assembly 1 circuit - voltage below normal, or shorted to low source",Warning,,,
1347,7,Cummins - Stage V,Engine fuel pump pressurizing assembly #1,P281 - Engine fuel pump pressurizing assembly 1 - mechanical system not responding or out of adjustment,Warning,,,
1349,3,Cummins - Stage V,Engine injector metering rail 2 pressure,"P483 - Injector metering rail 2 pressure sensor circuit - voltage above normal, or shorted to high source",Warning,,,
1349,4,Cummins - Stage V,Engine injector metering rail 2 pressure,"P484 - Injector metering rail 2 pressure sensor circuit - voltage below normal, or shorted to low source",Warning,,,
1377,2,Cummins - Stage V,Engine synchronization switch,"P497 - Multiple unit synchronization switch - data erratic, intermittent or incorrect",Warning,,,
1378,31,Cummins - Stage V,Engine oil change interval,P649 - Engine oil change interval - condition exists,Warning,,,
1383,31,Cummins - Stage V,Engine was shut down hot,P611 - Engine shut down hot - condition exists,Warning,,,
1387,3,Cummins - Stage V,Auxiliary pressure #1,"P1539 - Auxiliary pressure sensor input 1 circuit - voltage above normal, or shorted to high source",Warning,,,
1387,4,Cummins - Stage V,Auxiliary pressure #1,"P1621 - Auxiliary pressure sensor input 1 circuit - voltage below normal, or shorted to low source",Warning,,,
1388,3,Cummins - Stage V,Auxiliary pressure #2,"P297 - Auxiliary pressure sensor input 2 circuit - voltage above normal, or shorted to high source",Warning,,,
1388,4,Cummins - Stage V,Auxiliary pressure #2,"P298 - Auxiliary pressure sensor input 2 circuit - voltage below normal, or shorted to low source",Warning,,,
1388,14,Cummins - Stage V,Auxiliary pressure #2,P6584 - Auxiliary pressure sensor input 2 - special instructions,Warning,,,
1503,2,Terberg - CC2 (ytxx3) - 4.1,Arm rest up status,Arm Rest status signal error,Warning,,,
1503,13,Terberg - CC2 (ytxx3) - 4.1,Arm rest up status,Arm Rest signal not received/ not available,Warning,,,
1504,2,Terberg - CC2 (ytxx3) - 4.1,Driver seated detection," Data Erratic, Intermittent, or Incorrect - Driver switches states unequal ",Critical,The controller determines mismatch between pin 27 and pin 43 of connector B,"The controller is not able to determine the driver seated status, therefor the controller can't activate the automatic park brake","- The driver seated 1 is described in Electric Diagram of the YTCC2
- The driver seated 2 is described in Electric Diagram of the Second seat switch Option YTxx3
- Measure the voltage in the driver seated switches, valid range open load or  KL15 Ubatt
- Measure the suppply voltage, this must be 24V
- Replace driver seated switches"
1557,12,PVED - CLS,RAM test,RAM-Code Test fails,Critical,Internal failure,"In manual mode: You are probably unable to go to DBW mode since the PVED has an error and will probably not finish the preparation phase.

In DBW mode: Probably the automatic steering will fail, causing a protective stop",Please contact the Aftersales department
1557,12,PVED - CLS,RAM test,RAM-Code Test fails,Critical,Internal failure,"In manual mode: You are probably unable to go to DBW mode since the PVED has an error and will probably not finish the preparation phase.

In DBW mode: Probably the automatic steering will fail, causing a protective stop",Please contact the Aftersales department
1562,31,PVED - CLS,Incompatible Boot-loader,Bootloader is not compatible to application,Critical,"PVED-CLS main and/or safety controller contains a bootloader version not 
compatible to the application software",The user will be unable to update the device,Please try and update the device with the correct bootloader
1562,31,PVED - CLS,Incompatible Boot-loader,Bootloader is not compatible to application,Critical,"PVED-CLS main and/or safety controller contains a bootloader version not 
compatible to the application software",The user will be unable to update the device,Please try and update the device with the correct bootloader
1563,2,Cummins - Stage V,Incompatible monitor/controller,"P1256 / P1257 - Control module identification input state error - data erratic, intermittent or incorrect",Warning,,,
1563,31,PVED - CLS,Software Mismatch,Downloaded Software does not match the peer controller,Critical,PVED-CLS main controller contains a different software version than the PVED-CLS safety controller,The device will not function; automatic steering will be unavailable,Please find matching main and safety controller software and update the device
1563,31,PVED - CLS,Software Mismatch,Downloaded Software does not match the peer controller,Critical,PVED-CLS main controller contains a different software version than the PVED-CLS safety controller,The device will not function; automatic steering will be unavailable,Please find matching main and safety controller software and update the device
1569,14,Cummins - Stage V,Engine protection torque derate,P7285 - Engine protection torque derate - special instructions,Warning,,,
1569,31,Cummins - Stage V,Engine protection torque derate,P3714 - Engine protection torque derate - condition exists,Warning,,,
1590,2,Cummins - Stage V,Adaptive cruise control mode,"P784 - Adaptive cruise control mode - data erratic, intermittent or incorrect",Warning,,,
1623,9,Cummins - Stage V,Tachograph output shaft speed,P3186 - Tachograph output shaft speed - abnormal update rate,Warning,,,
1623,13,Cummins - Stage V,Tachograph output shaft speed,P5248 - Tachograph output shaft speed - out of calibration,Warning,,,
1623,19,Cummins - Stage V,Tachograph output shaft speed,P3213 - Tachograph output shaft speed - received network data in error,Warning,,,
1639,2,Cummins - Stage V,Fan speed,"P6469 - Fan speed- data erratic, intermittent, or incorrect",Warning,,,
1639,15,Cummins - Stage V,Fan speed,P6467 - Fan speed - data valid but above normal operational range - most severe level,Warning,,,
1639,17,Cummins - Stage V,Fan speed,P6468 - Fan speed - data valid but below normal operational range - most severe level,Warning,,,
1675,31,Cummins - Stage V,Engine starter mode,P3737 - Engine starter mode overcrank protection - condition exists,Warning,,,
1716,3,Allison - Gen 5,Retarder reqquest sensor,Retarder request sensor circuit high,Warning,,,
1716,4,Allison - Gen 5,Retarder reqquest sensor,Retarder request sensor circuit low,Warning,,,
1761,1,Cummins - Stage V,Aftertreatment 1 diesel exhaust fluid tank level,P1673 - Aftertreatment 1 diesel exhaust fluid tank level - data valid but below normal operational range -most severe level,Warning,,,
1761,2,Cummins - Stage V,Aftertreatment 1 diesel exhaust fluid tank level,"P1699 - Aftertreatment 1 diesel exhaust fluid tank level sensor - data erratic, intermittent or incorrect",Warning,,,
1761,3,Cummins - Stage V,Aftertreatment 1 diesel exhaust fluid tank level,"P1669 - Aftertreatment 1 diesel exhaust fluid tank level sensor circuit - voltage above normal, or shorted to high source",Warning,,,
1761,4,Cummins - Stage V,Aftertreatment 1 diesel exhaust fluid tank level,"P1668 - Aftertreatment 1 diesel exhaust fluid tank level sensor circuit - voltage below normal, or shorted to low source",Warning,,,
1761,5,Cummins - Stage V,Aftertreatment 1 diesel exhaust fluid tank level,P4679 - Aftertreatment 1 diesel exhaust fluid tank level sensor circuit - current below normal or open circuit,Warning,,,
1761,6,Cummins - Stage V,Aftertreatment 1 diesel exhaust fluid tank level,P4738 - Aftertreatment 1 diesel exhaust fluid tank level sensor circuit - current above normal or grounded circuit,Warning,,,
1761,9,Cummins - Stage V,Aftertreatment 1 diesel exhaust fluid tank level,P4677 - Sae j1939 multiplexing PGN timeout error - abnormal update rate,Warning,,,
1761,9,Terberg - CC2 (ytxx3) - 4.1,AT1T1I1 Time out error,AT1T1I1 Message TimeOut error,Warning,The controller has not received the AT1T1I1 CAN message for 5000ms from the engine on the J1939 CAN bus,"The controller can't determine the DEF level and DEF level low indicator, since  the data is not received from the engine. Therefor the display is not able to show information in relation to the diesel exhaust fluid","- When the AT1T1I1 Time out faultcode is the only time-out faultcode, Check the engine configuration
- When the AT1T1I1 Time out faultcode is accompanied by Engine Node Time out faultcode:
1) Check J1939 CAN bus wiring e.g. short circuit between CAN high and CAN low, CAN bus termination not correct (60O when ignition off)
2) Check power supply, fusing and grounding of the engine controller and/or engine related subsystems"
1761,10,Cummins - Stage V,Aftertreatment 1 diesel exhaust fluid tank level,P4769 - Aftertreatment 1 diesel exhaust fluid tank level sensor - abnormal rate of change,Warning,,,
1761,11,Cummins - Stage V,Aftertreatment 1 diesel exhaust fluid tank level,P4739 - Aftertreatment 1 diesel exhaust fluid tank level sensor - root cause not known,Warning,,,
1761,13,Cummins - Stage V,Aftertreatment 1 diesel exhaust fluid tank temperature,P6526 - Aftertreatment 1 diesel exhaust fluid tank level sensor - out of calibration,Warning,,,
1761,17,Cummins - Stage V,Aftertreatment 1 diesel exhaust fluid tank level,P3497 - Aftertreatment 1 diesel exhaust fluid tank level - data valid but below normal operating range - least severe level,Warning,,,
1761,18,Cummins - Stage V,Aftertreatment 1 diesel exhaust fluid tank level,P3498 - Aftertreatment 1 diesel exhaust fluid tank level - data valid but below normal operating range - moderately severe level,Warning,,,
1800,16,Cummins - Stage V,Battery 1 temperature,P2263 - Battery temperature - data valid but above normal operating range - moderately severe level,Warning,,,
1800,18,Cummins - Stage V,Battery 1 temperature,P2264 - Battery temperature - data valid but below normal operating range - moderately severe level,Warning,,,
1807,0,Wabco - E8 ABS,Steering-Wheel Angle Sensor/ CAN Data Link,149 : Yaw rate cross check (sas),Warning,,,"Check the ABS-ECU concerning correct EOL-parameter (steering ratio, wheelbase, wheel diameter, etc.) Check, whether the SAS is correctly assembled Replace the steering angle sensor;"
1807,1,Wabco - E8 ABS,Steering-Wheel Angle Sensor/ CAN Data Link,150 : Sas minimum dynamic check,Warning,,,"Check, if SAS is mechanically connected to the steering-column (does is rotate ?) Check and replace steering anglesensor;"
1807,2,Wabco - E8 ABS,Steering-Wheel Angle Sensor/ CAN Data Link,158 : Monitoring of petri sas / signalfailure,Warning,,,Replace steering angle sensor;
1807,3,Wabco - E8 ABS,Steering-Wheel Angle Sensor/ CAN Data Link,157 : Monitoring of petri sas / can-failure,Warning,,,Check wiring to SAS Check and replace steering anglesensor;
1807,4,Wabco - E8 ABS,Steering-Wheel Angle Sensor/ CAN Data Link,112 : Check of availability of steering angle sensorinformation,Warning,,,IIf failure occurs only after ignition on before turning the steering-wheel No repair necessary (normal behaviour of specific SAS-type) f failure also occurs during driving Check the correct assembly of the steering angle sensor Is the steering angle sensor type correct ? Check the correct function of steering angle sensor;
1807,5,Wabco - E8 ABS,Steering-Wheel Angle Sensor/ CAN Data Link,156 : Monitoring of petri sas / undervoltage,Warning,,,Check wiring to SAS Check and replace steering anglesensor;
1807,6,Wabco - E8 ABS,Steering-Wheel Angle Sensor/ CAN Data Link,113 : Monitoring of japanese sas/ sae can failure,Warning,,,Check the SAE J 1939 data communication of the SAS;
1807,7,Wabco - E8 ABS,Steering-Wheel Angle Sensor/ CAN Data Link,143 : Plausibility check of steering ratio,Warning,,,"RHas the driver executed normal driving-manoeuvres since the last ESC-calibration phase ? If not, the ESC calibration-phase must be repeated and the driver must drive in a normal way (not too aggressive) in the following period. emark: If the way of driving is tooaggressive, then the calibration-values are not determined within an admissable time. Check the ABS-ECU concerning correct ESC specific EOL parameters (e.g. wheel base, pole-wheel teeth-numbers, tire-circumference, ...) Is the vehicle damaged at the front axle ? check/ replace the ESC module check/ replace the steering wheel sensor;"
1807,8,Wabco - E8 ABS,Steering-Wheel Angle Sensor/ CAN Data Link,27 : Calibration failure of sas,Warning,,,Exectute the calibration procedure of the steering angle sensor;
1807,9,Wabco - E8 ABS,Steering-Wheel Angle Sensor/ CAN Data Link,"17 : Timeout and checksum failure of sas can message (sae j 1939 can, internal can)",Warning,,,"RCheck ABS-ECU for correct EOL-configuration (steering wheel sensor yes/no) Check the wiring between ABS-ECU and steering wheel sensor Check the steering wheel sensor / replace the steering wheel sensor emark: If a device with faulty data-transmission rate (baudrate) is connected to the brakesystem-CAN, this can also cause this failure code (e.g. faulty SAS-type).;"
1807,10,Wabco - E8 ABS,Steering-Wheel Angle Sensor/ CAN Data Link,40 : Sas can message blockdata check (sae j 1939 can/ brakesystem can),Warning,,,"Check, whether the right SAS-type is assembled or check, whether the parameter ""SAS-Type"" in the ABS-ECU is correct Replace steering angle sensor;"
1807,11,Wabco - E8 ABS,Steering-Wheel Angle Sensor/ CAN Data Link,159 : Monitoring of petri sas / internal failure,Warning,,,Replace steering angle sensor;
1807,12,Wabco - E8 ABS,Steering-Wheel Angle Sensor/ CAN Data Link,28 : Correct signal range of sas signal,Warning,,,Replace steering angle sensor  Petri-SAS-Type: Check wiring to SAS Check and replace steering anglesensor;
1807,13,Wabco - E8 ABS,Steering-Wheel Angle Sensor/ CAN Data Link,"104 : Check of correct esc parameters (sas yes/no, undefined sas type)",Warning,,,Check the ABS-ECU concerning correct EOL parameters  Check the specific parameters of the steering wheel sensor;
1807,14,Wabco - E8 ABS,Steering-Wheel Angle Sensor/ CAN Data Link,"142 : Check of sas sensor signal (front wheel steer angle) | 126 : sas offset fault | 109 : check of sas sensor signal (invalid range, dynamic)",Warning,,,"Are the steering-ratio parameters inside the ABS-ECU correct (if they can be parametrized or if there are several ECU-variants)  ?Was the calibration-procedure carried out correctly ? (Remark: only possible, if SAS can be calibrated) Check the position of the steeringwheel, when the front wheels are in straight-on position. Check the steering-geometry (wheel toe, wheel camber) or the assembly of the steering-column. check and replace the steering wheel sensor;"
1818,31,Cummins - Stage V,Rop brake control active,P3374 - Roll over protection brake control active - condition exists,Warning,,,
2000,9,Allison - Gen 5,Lost communication,Lost communications with ECM A,Warning,,,
2003,11,Allison - Gen 5,Transmission range sensor,Transmission range sensor circuit performance,Warning,,,
2003,12,Allison - Gen 5,Control Module Performance,Control Module Performance,Warning,,,
2003,31,Allison - Gen 5,Transmission range sensor,Transmission range sensor,Warning,,,
2006,9,Cummins - Stage V,Source address 6,P5133 - Source address 6 - abnormal update rate,Warning,,,
2354,5,Terberg - CC2 (ytxx3) - 4.1,Work light front cabin,Work Light Cabin Front output short circuit to battery,Warning,The controller measures a current below 20mA for at least 100ms on pin 81 of connector A,"The controller is not able to control the work light front, therefor the work light front may or may not illuminate. A short to circuit to battery may result in a group switch 2 error and may deactivate outputs 73 - 81 of connector A.","- The work light front circuit is described in Electric Diagram of the YTCC2
- Measure the voltages in work light front circuit to find the short circuit to battery
- Measure the voltages in the work light front circuit to find the open load
- Check the fuses in the work light front circuit
- Replace work light front"
2354,6,Terberg - CC2 (ytxx3) - 4.1,Work light front cabin,Work Light Cabin Front output short circuit to ground,Warning,The controller measures a current above 250mA for at least 100ms on pin 18 of connector A,"The controller is not able to control the work light front, therefor the work light front may not illuminate.","- The work light front circuit is described in Electric Diagram of the YTCC2
- Measure the voltages / resistance in work reverse light  to find the short circuit to ground
- Replace work light front
"
2360,5,Terberg - CC2 (ytxx3) - 4.1,Reverse light,Reverse Light output short circuit to battery,Warning,The controller measures a current below 20mA for at least 100ms on pin 20 of connector A,"The controller is not able to control the reverse light, therefor the reverse light  may or may not illuminate. A short to circuit to battery may result in a group switch 0 error and may deactivate outputs 16 - 24 of connector A.","- The reverse light circuit is described in Electric Diagram of the YTCC2
- Measure the voltages in reverse light circuit to find the short circuit to battery
- Measure the voltages in the reverse light  circuit to find the open load
- Check the fuses in the reverse light  circuit
- Replace reverse light"
2360,6,Terberg - CC2 (ytxx3) - 4.1,Reverse light,Reverse Light output short circuit to ground,Warning,The controller measures a current above 250mA for at least 100ms on pin 20 of connector A,"The controller is not able to control the reverse light, therefor the reverse light may not illuminate.","- The reverse light  circuit is described in Electric Diagram of the YTCC2
- Measure the voltages / resistance in reverse light circuit to find the short circuit to ground
- Replace reverse light"
2362,5,Terberg - CC2 (ytxx3) - 4.1,Work light rear,Work Light Rear output short circuit to battery,Warning,The controller measures a current below 20mA for at least 100ms on pin 24 of connector A,"The controller is not able to control the work light rear, therefor the  work light rear may or may not illuminate. A short to circuit to battery may result in a group switch 0 error and may deactivate outputs 16 - 24 of connector A","- The work light rear circuit is described in Electric Diagram of the YTCC2
- Measure the voltages in work light rear circuit to find the short circuit to battery
- Measure the voltages in the work light rear circuit to find the open load
- Check the fuses in the work light rear circuit
- Replace work light rear"
2362,6,Terberg - CC2 (ytxx3) - 4.1,Work light rear,Work Light Rear output short circuit to ground,Warning,The controller measures a current above 250mA for at least 100ms on pin 24 of connector A,"The controller is not able to control the reverse light, therefor the work light rear may not illuminate.","- The work light rear circuit is described in Electric Diagram of the YTCC2
- Measure the voltages / resistance in work light rear circuit to find the short circuit to ground
- Replace work light rear"
2386,5,Terberg - CC2 (ytxx3) - 4.1,Beacon,Beacon output short circuit to battery,Warning,The controller measures a current below 20mA for at least 100ms on pin 76 of connector A,"The controller is not able to control the beacon, therefor the beacon may or may not illuminate. A short to circuit to battery may result in a group switch 2 error and may deactivate outputs 73 - 81 of connector A.","- The beacon circuit is described in Electric Diagram of the YTCC2
- Measure the voltages in beacon circuit to find the short circuit to battery
- Measure the voltages in the beacon circuit to find the open load
- Check the fuses in the beacon circuit
- Replace beacon"
2386,6,Terberg - CC2 (ytxx3) - 4.1,Beacon,Beacon output short circuit to ground,Warning,The controller measures a current above 250mA for at least 100ms on pin 76 of connector A,"The controller is not able to control the beacon, therefor the beacon may not illuminate.","- The beaconcircuit is described in Electric Diagram of the YTCC2
- Measure the voltages / resistance in beacon circuit to find the short circuit to ground
- Replace beacon"
2430,5,Terberg - CC2 (ytxx3) - 4.1,Coolant level low output,Coolant Level Low output short circuit to battery,Warning,,,
2430,6,Terberg - CC2 (ytxx3) - 4.1,Coolant level low output,Coolant Level Low output short circuit to ground,Warning,,,
2587,0,Terberg - CC2 (ytxx3) - 4.1,Tire extreme over pressure,"One or more tires have extreme over pressure, please check the TPMS menu for more information",Critical,The TPMS system has reported that  at least one of the tires has an extreme over pressure.,"By continuing to operate the machine, the tire can damage or broken","- Depressurize tire
- Check tires and pressures
- Inspect sensor
- Relearn TPMS system and or sensors"
2587,1,Terberg - CC2 (ytxx3) - 4.1,Tire extreme under pressure,"One or more tires have extreme under pressure, please check the TPMS menu for more information",Critical,The TPMS system has reported that  at least one of the tires has an extreme under pressure.,"By continuing to operate the machine, the tire can damage or broken","- Inflate tire
- Check tires and pressures
- Inspect sensor
- Relearn TPMS system and or sensors"
2587,16,Terberg - CC2 (ytxx3) - 4.1,Tire over pressure,"One or more tires have over pressure, please check the TPMS menu for more information",Warning,The TPMS system has reported that  at least one of the tires has an over pressure.,"By continuing to operate the machine, the tire can damage or broken","- Depressurize tire
- Check tires and pressures
- Inspect sensor
- Relearn TPMS system and or sensors"
2587,18,Terberg - CC2 (ytxx3) - 4.1,Tire under pressure,"One or more tires have under pressure, please check the TPMS menu for more information",Warning,The TPMS system has reported that  at least one of the tires has an under pressure.,"By continuing to operate the machine, the tire can damage or broken","- Inflate tire
- Check tires and pressures
- Inspect sensor
- Relearn TPMS system and or sensors"
2602,1,Terberg - CC2 (ytxx3) - 4.1,Hydraulic oil level too low,The hydraulic oil level in the reservoir is too low,Critical,The controllers measures an hydraulic level too low,"Due to insufficient hydraulic oil, the steering behavior may be influenced","- Hydraulic oil level circuit is partly described in the Electric Diagram of the YTCC2 and partly in the Steering oil level diagram.
- Fill the hydraulic oil level"
2622,2,Wabco - E8 ABS,Hill Start Aid system,7 : Hsa monitoring,Warning,,,Was the HSA function activated for more than 90s ? This would be a misuse.;
2623,3,Cummins - Stage V,Accelerator pedal #1 channel 2,"P1239 - Accelerator Pedal or Lever Position Sensor 2 Circuit - Voltage Above Normal, or Shorted to High Source",Warning,,,
2623,4,Cummins - Stage V,Accelerator pedal #1 channel 2,"P1241 - Accelerator Pedal or Lever Position Sensor 2 Circuit - Voltage Below Normal, or Shorted to Low Source",Warning,,,
2629,15,Cummins - Stage V,Engine turbocharger 1 compressor outlet temperature,P2347 - Turbocharger compressor outlet temperature (calculated) - data valid but above normal operating range,Warning,,,
2630,2,Cummins - Stage V,Engine charge air cooler 1 outlet temperature,"P3478 - Engine charge air cooler outlet temperature - data erratic, intermittent or incorrect",Warning,,,
2630,3,Cummins - Stage V,Engine charge air cooler 1 outlet temperature,"P2571 - Engine charge air cooler outlet temperature - voltage above normal, or shorted to high source",Warning,,,
2630,4,Cummins - Stage V,Engine charge air cooler 1 outlet temperature,"P2572 - Engine charge air cooler outlet temperature - voltage below normal, or shorted to low source",Warning,,,
2633,7,Cummins - Stage V,Engine variable geometry turbocharger (vgt) 1 nozzle position,P3616 - Engine vgt nozzle position - mechanical system not responding or out of adjustment,Warning,,,
2660,3,Terberg - CC2 (ytxx3) - 4.1,5th wheel joystick sensor 1,5th Wheel Lift Lower Joystick 1 sensor short circuit to battery,Warning,The controller measures a voltage above 4750mV for at least 100ms on pin 67 of connector A,"- When only one of the two joystick signals is faulty, the 5th wheel can still be operated 
- When both joystick signals are faulty, the 5th wheel can't be operated anymore
- The 5th wheel joystick is a safety critical input, therefor the fault will only be reset after a key cycle","- The 5th th wheel joystick circuit is described in Electric Diagram of the YTCC2
- Measure the voltage in the 5th wheel joystick signal 1 circuit, valid range is between 4500 - 500 mV
- Measure the suppply voltage, this must be 5V
- Measure the grounding of the 5th wheel joystick signal 1 circuit, make sure the ignition is inactive
- Replace 5th wheel joytstick"
2660,4,Terberg - CC2 (ytxx3) - 4.1,5th wheel joystick sensor 1,5th Wheel Lift Lower Joystick 1 sensor short circuit to ground,Warning,The controller measures a voltage below 250mV for at least 100ms on pin 67 of connector A,"- When only one of the two joystick signals is faulty, the 5th wheel can still be operated 
- When both joystick signals are faulty, the 5th wheel can't be operated anymore
- The 5th wheel joystick is a safety critical input, therefor the fault will only be reset after a key cycle","- The 5th th wheel joystick circuit is described in Electric Diagram of the YTCC2
- Measure the voltage in the 5th wheel joystick signal 1 circuit, valid range is between 4500 - 500 mV
- Measure the suppply voltage, this must be 5V
- Measure the grounding of the 5th wheel joystick signal 1 circuit, make sure the ignition is inactive
- Replace 5th wheel joytstick"
2660,11,Terberg - CC2 (ytxx3) - 4.1,5th wheel joystick sensor 1,5th Wheel Lift Lower Joystick 1 root cause not known,Warning,"The controller determines an issue on pin 67 of connector A. Specific root cause can't be determined. Potential hardware, software, firmware or configuration issue","- When only one of the two joystick signals is faulty, the 5th wheel can still be operated 
- When both joystick signals are faulty, the 5th wheel can't be operated anymore
- The 5th wheel joystick is a safety critical input, therefor the fault will only be reset after a key cycle","- Contact the aftersales department for support via the portal

In order to facilitate adequate support please supply the following information:
1) Detailed description of failure e.g. specific reproducable trigger conditions or behavior (reoccurs every key cycle or from a certain speed etc)
2) Log file from DIM, of the faulty scenario
3) Photo or movie of the behavior or of the DIM e.g. Dashboard view, Faultcodes view, IO Check view, CAN network check view, About menu view
4) Updated software or parameter set recently, from Terberg or 3rd party systems e.g. Engine, Transmission? If so, please supply us with details."
2685,2,Terberg - CC2 (ytxx3) - 4.1,Terberg joystick forward gear button,Terberg Joystick Forward Gear Button signal error,Warning,"The controllers receives an ""Error"" status in the forward gear button CAN signal","The controller can't determine the forward gear request, therefor the forward driving direction will not be requested from the transmission","- Check J1939 CAN bus wiring e.g. short circuit between CAN high and CAN low, CAN bus termination not correct (60O when ignition off)
- Check power supply, fusing and grounding of the joystick
- Replace joystick"
2685,13,Terberg - CC2 (ytxx3) - 4.1,Terberg joystick forward gear button,Terberg Joystick Forward Gear Button signal not received/ not available,Warning,"The controllers receives a ""Not available"" status in the forward gear button CAN signal","The controller can't determine the forward gear request, therefor the forward driving direction will not be requested from the transmission","'- Check J1939 CAN bus wiring e.g. short circuit between CAN high and CAN low, CAN bus termination not correct (60O when ignition off)
- Check power supply, fusing and grounding of the joystick
- Replace joystick"
2686,2,Terberg - CC2 (ytxx3) - 4.1,Terberg joystick neutral gear button,Terberg Joystick Neutral Gear Button signal error,Warning,"The controllers receives an ""Error"" status in the neutral gear button CAN signal","The controller can't determine the neutral gear request, therefor the neutral driving direction will not be requested from the transmission","'- Check J1939 CAN bus wiring e.g. short circuit between CAN high and CAN low, CAN bus termination not correct (60O when ignition off)
- Check power supply, fusing and grounding of the joystick
- Replace joystick."
2686,13,Terberg - CC2 (ytxx3) - 4.1,Terberg joystick neutral gear button,Terberg Joystick Neutral Gear Button signal not received/ not available,Warning,"The controllers receives a ""Not available"" status in the neutral gear button CAN signal","The controller can't determine the neutral gear request, therefor the neutral driving direction will not be requested from the transmission","- Check J1939 CAN bus wiring e.g. short circuit between CAN high and CAN low, CAN bus termination not correct (60O when ignition off)
- Check power supply, fusing and grounding of the joystick
- Replace joystick
"
2687,2,Terberg - CC2 (ytxx3) - 4.1,Terberg joystick reverse gear button,Terberg Joystick Reverse Gear Button signal error,Warning,"The controllers receives an ""Error"" status in the reverse gear button CAN signal","The controller can't determine the reverse gear request, therefor the reverse driving direction will not be requested from the transmission","- Check J1939 CAN bus wiring e.g. short circuit between CAN high and CAN low, CAN bus termination not correct (60O when ignition off)
- Check power supply, fusing and grounding of the joystick
- Replace joystick

"
